"setup_id","n_games","p1_win_rate","wr_ci_lo","wr_ci_hi","mean_margin"
38,1300,0.524615384615385,0.49705423492519,0.552065006530028,2.30461538461538
39,1300,0.453846153846154,0.426528256765404,0.481373177152217,-3.79923076923077
40,1300,0.514615384615385,0.487055587427763,0.542108963130029,2.61538461538462
41,1300,0.483846153846154,0.456358630083632,0.511406866794016,-0.44
42,1300,0.492307692307692,0.464790049035807,0.519860187317504,0.0976923076923077
43,1300,0.501538461538461,0.473996825108512,0.529073127635178,-0.163076923076923
44,1300,0.484615384615385,0.457124801325467,0.512175671829966,-1.19230769230769
45,1300,0.526153846153846,0.498593454181647,0.553595739527812,3.32923076923077
46,1300,0.569230769230769,0.54179692469033,0.596350893528888,6.10461538461538
47,1300,0.506153846153846,0.478603680491662,0.53367613044722,-0.526153846153846
48,1300,0.476153846153846,0.448700456648567,0.503715278045219,-2.34692307692308
49,1300,0.475384615384615,0.447934993469972,0.50294576507481,-2.20615384615385
50,1300,0.476923076923077,0.449465984260596,0.504484726596173,-0.986153846153846
51,1300,0.535384615384615,0.507834189353437,0.562774716463398,3.70923076923077
52,1300,0.507692307692308,0.480139812682496,0.535209950964193,1.12076923076923
53,1300,0.442307692307692,0.415081308778252,0.469795495156622,-4.41
54,1300,0.386153846153846,0.359586137874902,0.413237611109967,-9.34
55,1300,0.571538461538462,0.544117188301078,0.598635553260722,4.85153846153846
56,1300,0.586923076923077,0.559600901168916,0.613851318555216,5.11076923076923
57,1300,0.466923076923077,0.439519155637215,0.494476866322096,-2.07692307692308
58,1300,0.545384615384615,0.517855498657953,0.572708091854399,3.78923076923077
59,1300,0.539230769230769,0.511687242735296,0.566596542284497,2.72307692307692
60,1300,0.442307692307692,0.415081308778252,0.469795495156622,-2.25153846153846
61,1300,0.507692307692308,0.480139812682496,0.535209950964193,0.933076923076923
62,1300,0.552307692307692,0.524799759560173,0.579578610052735,3.44846153846154
63,1300,0.458461538461538,0.431111139826727,0.486000147906639,-3.38230769230769
64,1300,0.501538461538461,0.473996825108512,0.529073127635178,-0.282307692307692
65,1300,0.516153846153846,0.488593133205984,0.543641369916368,1.14153846153846
66,1300,0.470769230769231,0.443343568353967,0.498327333615962,-2.16307692307692
67,1300,0.494615384615385,0.467090876148336,0.522164289272294,-0.351538461538462
68,1300,0.47,0.442578556645903,0.497557369285689,-3.24153846153846
69,1300,0.546923076923077,0.519398212059475,0.574235329565448,3.54
70,1300,0.469230769230769,0.441813609501573,0.496787340409327,-2.50769230769231
71,1300,0.517692307692308,0.490130936195917,0.545173519453229,1.72076923076923
72,1300,0.48,0.452528738766075,0.507561876873315,-2.31615384615385
73,1300,0.496923076923077,0.46939228124095,0.524467813275258,-0.0876923076923077
74,1300,0.510769230769231,0.483212847833981,0.538276821170886,1.54
75,1300,0.516923076923077,0.489362002544747,0.544407476845948,1.82307692307692
76,1300,0.501538461538461,0.473996825108512,0.529073127635178,0.494615384615385
77,1300,0.463076923076923,0.435696358946564,0.490624783489495,-2.88230769230769
78,1300,0.51,0.482444492687625,0.537510199986001,1.14153846153846
79,1300,0.480769230769231,0.453294588341588,0.508331003523856,-0.990769230769231
80,1300,0.483076923076923,0.455592523154052,0.510637997455253,-0.116923076923077
81,1300,0.566923076923077,0.539477255762771,0.594065638732743,5.15307692307692
82,1300,0.557692307692308,0.530204504843378,0.584918691221748,5.11769230769231
83,1300,0.410769230769231,0.383868626622963,0.43807423370798,-6.91692307692308
84,1300,0.494615384615385,0.467090876148336,0.522164289272294,-0.257692307692308
85,1300,0.569230769230769,0.54179692469033,0.596350893528888,4.90538461538462
86,1300,0.446923076923077,0.419658325074577,0.474428330007136,-3.83384615384615
87,1300,0.503076923076923,0.475532186724742,0.53060771875905,0.706153846153846
88,1300,0.49,0.462489800013999,0.517555507312375,-0.124615384615385
89,1300,0.462307692307692,0.43493199375971,0.489854172835289,-2.98538461538462
90,1300,0.487692307692308,0.460190129230515,0.51525024912144,0.302307692307692
91,1300,0.533846153846154,0.506293420922577,0.561245533063605,2.47846153846154
92,1300,0.533846153846154,0.506293420922577,0.561245533063605,3.29461538461538
93,1300,0.487692307692308,0.460190129230515,0.51525024912144,-1.45923076923077
94,1300,0.447692307692308,0.420421389947265,0.475200240439827,-4.43846153846154
95,1300,0.527692307692308,0.500132931292388,0.555126214609911,2.87230769230769
96,1300,0.525384615384615,0.497823812329256,0.552830405260529,1.79230769230769
97,1300,0.499230769230769,0.471694264239942,0.526770759387989,1.65
98,1300,0.503076923076923,0.475532186724742,0.53060771875905,-0.739230769230769
99,1300,0.478461538461538,0.450997232728635,0.506023430494216,-1.54769230769231
